id,name,path,scraped
329142718,lenovo-82h800ugra,https://rozetka.com.ua/lenovo-82h800ugra/p329142718/,0
328047400,lenovo-82h700pvra,https://rozetka.com.ua/lenovo-82h700pvra/p328047400/comments/,0
324009400,lenovo-82h700l0ra,https://rozetka.com.ua/lenovo-82h700l0ra/p324009400/comments/,0
319601017,asus-90nb0tv1-m02230,https://rozetka.com.ua/asus-90nb0tv1-m02230/p319601017/,0
344107234,asus-90nb0tz2-m006k0,https://rozetka.com.ua/asus-90nb0tz2-m006k0/p344107234/,0
328047400,lenovo-82h700pvra,https://rozetka.com.ua/lenovo-82h700pvra/p328047400/,0
303566893,hp_27k02ea,https://rozetka.com.ua/hp_27k02ea/p303566893/comments/,0
325639798,dell-n6264vn3515ua-whom,https://rozetka.com.ua/dell-n6264vn3515ua-whom/p325639798/comments/,0
323909509,acer-nxa77eu00c,https://rozetka.com.ua/acer-nxa77eu00c/p323909509/comments/,0
282257488,acer_nx_a8ceu_00k,https://rozetka.com.ua/acer_nx_a8ceu_00k/p282257488/,0
340876306,asus-90nb0sr2-m34700,https://rozetka.com.ua/asus-90nb0sr2-m34700/p340876306/,0
288376303,acer_nh_qbfeu_00c,https://rozetka.com.ua/acer_nh_qbfeu_00c/p288376303/comments/,0
344108557,asus-90nx0441-m20230,https://rozetka.com.ua/asus-90nx0441-m20230/p344108557/comments/,0
307049053,lenovo-82c30027ra,https://rozetka.com.ua/lenovo-82c30027ra/p307049053/comments/,0
339696121,asus-90nb0sg1-m00mz0,https://rozetka.com.ua/asus-90nb0sg1-m00mz0/p339696121/,0
319601017,asus-90nb0tv1-m02230,https://rozetka.com.ua/asus-90nb0tv1-m02230/p319601017/comments/,0
331620700,acer-nxvlheu00a,https://rozetka.com.ua/acer-nxvlheu00a/p331620700/,0
322377649,dell-n6262vn3515ua-wp,https://rozetka.com.ua/dell-n6262vn3515ua-wp/p322377649/comments/,0
221125189,lenovo_82c400xgra,https://rozetka.com.ua/lenovo_82c400xgra/p221125189/,0
332148364,hp-59y48ea,https://rozetka.com.ua/hp-59y48ea/p332148364/comments/,0
336263044,asus-90nr08a5-m00640,https://rozetka.com.ua/asus-90nr08a5-m00640/p336263044/,0
331953484,asus-90nb0s3f-m04580,https://rozetka.com.ua/asus-90nb0s3f-m04580/p331953484/,0
330927004,asus-90nb0ux3-m02640,https://rozetka.com.ua/asus-90nb0ux3-m02640/p330927004/comments/,0
334889104,lenovo-82kc003nra,https://rozetka.com.ua/lenovo-82kc003nra/p334889104/,0
330113455,asus-90nb0ux2-m02280,https://rozetka.com.ua/asus-90nb0ux2-m02280/p330113455/comments/,0
342591835,asus-90nb0th2-m10340,https://rozetka.com.ua/asus-90nb0th2-m10340/p342591835/comments/,0
327561304,asus-90nr0723-m04940,https://rozetka.com.ua/asus-90nr0723-m04940/p327561304/comments/,0
342592825,asus-90nb0tz3-m006h0,https://rozetka.com.ua/asus-90nb0tz3-m006h0/p342592825/,0
322576183,acer-nhqeseu003,https://rozetka.com.ua/acer-nhqeseu003/p322576183/,0
330113464,asus-90nb0ux2-m02630,https://rozetka.com.ua/asus-90nb0ux2-m02630/p330113464/,0
282216878,acer_nx_a8eeu_001,https://rozetka.com.ua/acer_nx_a8eeu_001/p282216878/,0
324009400,lenovo-82h700l0ra,https://rozetka.com.ua/lenovo-82h700l0ra/p324009400/,0
335765260,lenovo-82nb001gra,https://rozetka.com.ua/lenovo-82nb001gra/p335765260/comments/,0
314003122,lenovo-82nx00dqra,https://rozetka.com.ua/lenovo-82nx00dqra/p314003122/,0
314003119,lenovo-82nx00dera,https://rozetka.com.ua/lenovo-82nx00dera/p314003119/,0
331945309,asus-90nb0s3g-m04570,https://rozetka.com.ua/asus-90nb0s3g-m04570/p331945309/,0
339785419,asus-90nb0sg2-m00ak0,https://rozetka.com.ua/asus-90nb0sg2-m00ak0/p339785419/,0
338274052,acer-nhqdleu00h,https://rozetka.com.ua/acer-nhqdleu00h/p338274052/,0
331954378,asus-90nb0s3b-m04590,https://rozetka.com.ua/asus-90nb0s3b-m04590/p331954378/,0
342591835,asus-90nb0th2-m10340,https://rozetka.com.ua/asus-90nb0th2-m10340/p342591835/,0
340876306,asus-90nb0sr2-m34700,https://rozetka.com.ua/asus-90nb0sr2-m34700/p340876306/comments/,0
334890169,lenovo-82kc003jra,https://rozetka.com.ua/lenovo-82kc003jra/p334890169/comments/,0
330926536,asus-90nb0ux3-m02290,https://rozetka.com.ua/asus-90nb0ux3-m02290/p330926536/,0
332148364,hp-59y48ea,https://rozetka.com.ua/hp-59y48ea/p332148364/,0
221125189,lenovo_82c400xgra,https://rozetka.com.ua/lenovo_82c400xgra/p221125189/comments/,0
330927004,asus-90nb0ux3-m02640,https://rozetka.com.ua/asus-90nb0ux3-m02640/p330927004/,0
339690289,asus-90nr0724-m00ht0,https://rozetka.com.ua/asus-90nr0724-m00ht0/p339690289/,0
288376303,acer_nh_qbfeu_00c,https://rozetka.com.ua/acer_nh_qbfeu_00c/p288376303/,0
325639798,dell-n6264vn3515ua-whom,https://rozetka.com.ua/dell-n6264vn3515ua-whom/p325639798/,0
332371969,asus-90nb0ux3-m02620,https://rozetka.com.ua/asus-90nb0ux3-m02620/p332371969/comments/,0
335864284,hp-4a7m2ea,https://rozetka.com.ua/hp-4a7m2ea/p335864284/comments/,0
327561304,asus-90nr0723-m04940,https://rozetka.com.ua/asus-90nr0723-m04940/p327561304/,0
314003110,lenovo-82nx00dcra,https://rozetka.com.ua/lenovo-82nx00dcra/p314003110/comments/,0
332906383,hp-5a0u9ea,https://rozetka.com.ua/hp-5a0u9ea/p332906383/comments/,0
326327086,lenovo-82h800urra,https://rozetka.com.ua/lenovo-82h800urra/p326327086/comments/,0
342602632,asus-90nr08a5-m002a0,https://rozetka.com.ua/asus-90nr08a5-m002a0/p342602632/comments/,0
344107234,asus-90nb0tz2-m006k0,https://rozetka.com.ua/asus-90nb0tz2-m006k0/p344107234/comments/,0
282286938,acer_nh_qbfeu_00a,https://rozetka.com.ua/acer_nh_qbfeu_00a/p282286938/,0
323851423,acer-nhqf8eu001,https://rozetka.com.ua/acer-nhqf8eu001/p323851423/,0
340152502,acer-nhqdleu00m,https://rozetka.com.ua/acer-nhqdleu00m/p340152502/comments/,0
334543120,asus-90nx0441-m20210,https://rozetka.com.ua/asus-90nx0441-m20210/p334543120/,0
339690289,asus-90nr0724-m00ht0,https://rozetka.com.ua/asus-90nr0724-m00ht0/p339690289/comments/,0
326327086,lenovo-82h800urra,https://rozetka.com.ua/lenovo-82h800urra/p326327086/,0
282175188,acer_nx_vpveu_008,https://rozetka.com.ua/acer_nx_vpveu_008/p282175188/comments/,0
322714711,apple_macbook_pro_16_m1_pro_512gb_2021_silver,https://rozetka.com.ua/apple_macbook_pro_16_m1_pro_512gb_2021_silver/p322714711/,0
342575098,lenovo-intel-i3-1115g4-8-128f-int-w10p,https://rozetka.com.ua/lenovo-intel-i3-1115g4-8-128f-int-w10p/p342575098/,0
334543120,asus-90nx0441-m20210,https://rozetka.com.ua/asus-90nx0441-m20210/p334543120/comments/,0
314003125,lenovo-82nx00drra,https://rozetka.com.ua/lenovo-82nx00drra/p314003125/comments/,0
323225668,acer-nhqeweu007,https://rozetka.com.ua/acer-nhqeweu007/p323225668/,0
322399963,hp-3a5x9ea,https://rozetka.com.ua/hp-3a5x9ea/p322399963/,0
332371969,asus-90nb0ux3-m02620,https://rozetka.com.ua/asus-90nb0ux3-m02620/p332371969/,0
330113455,asus-90nb0ux2-m02280,https://rozetka.com.ua/asus-90nb0ux2-m02280/p330113455/,0
278516153,lenovo_82c600dara,https://rozetka.com.ua/lenovo_82c600dara/p278516153/,0
322399963,hp-3a5x9ea,https://rozetka.com.ua/hp-3a5x9ea/p322399963/comments/,0
344108557,asus-90nx0441-m20230,https://rozetka.com.ua/asus-90nx0441-m20230/p344108557/,0
282196218,acer_nx_a8ceu_00n,https://rozetka.com.ua/acer_nx_a8ceu_00n/p282196218/comments/,0
339217975,asus-90nb0sg3-m00my0,https://rozetka.com.ua/asus-90nb0sg3-m00my0/p339217975/,0
332906383,hp-5a0u9ea,https://rozetka.com.ua/hp-5a0u9ea/p332906383/,0
330113467,asus-90nb0ux2-m02610,https://rozetka.com.ua/asus-90nb0ux2-m02610/p330113467/,0
325216981,msi-b11mou-874xua,https://rozetka.com.ua/msi-b11mou-874xua/p325216981/,0
339014731,acer-nhqe5eu00m,https://rozetka.com.ua/acer-nhqe5eu00m/p339014731/,0
335765260,lenovo-82nb001gra,https://rozetka.com.ua/lenovo-82nb001gra/p335765260/,0
282257488,acer_nx_a8ceu_00k,https://rozetka.com.ua/acer_nx_a8ceu_00k/p282257488/comments/,0
278516153,lenovo_82c600dara,https://rozetka.com.ua/lenovo_82c600dara/p278516153/comments/,0
335892088,acer-nhqdleu008,https://rozetka.com.ua/acer-nhqdleu008/p335892088/comments/,0
322576183,acer-nhqeseu003,https://rozetka.com.ua/acer-nhqeseu003/p322576183/comments/,0
335864284,hp-4a7m2ea,https://rozetka.com.ua/hp-4a7m2ea/p335864284/,0
325419124,asus-90nx0421-m22040,https://rozetka.com.ua/asus-90nx0421-m22040/p325419124/,0
303566893,hp_27k02ea,https://rozetka.com.ua/hp_27k02ea/p303566893/,0
323851423,acer-nhqf8eu001,https://rozetka.com.ua/acer-nhqf8eu001/p323851423/comments/,0
344525260,apple-z15g000dw,https://rozetka.com.ua/apple-z15g000dw/p344525260/comments/,0
334890169,lenovo-82kc003jra,https://rozetka.com.ua/lenovo-82kc003jra/p334890169/,0
334830985,asus-90nb0w12-m00150,https://rozetka.com.ua/asus-90nb0w12-m00150/p334830985/,0
282286938,acer_nh_qbfeu_00a,https://rozetka.com.ua/acer_nh_qbfeu_00a/p282286938/comments/,0
325419124,asus-90nx0421-m22040,https://rozetka.com.ua/asus-90nx0421-m22040/p325419124/comments/,0
334889104,lenovo-82kc003nra,https://rozetka.com.ua/lenovo-82kc003nra/p334889104/comments/,0
340152502,acer-nhqdleu00m,https://rozetka.com.ua/acer-nhqdleu00m/p340152502/,0
282196218,acer_nx_a8ceu_00n,https://rozetka.com.ua/acer_nx_a8ceu_00n/p282196218/,0
323225668,acer-nhqeweu007,https://rozetka.com.ua/acer-nhqeweu007/p323225668/comments/,0
314003125,lenovo-82nx00drra,https://rozetka.com.ua/lenovo-82nx00drra/p314003125/,0
329142718,lenovo-82h800ugra,https://rozetka.com.ua/lenovo-82h800ugra/p329142718/comments/,0
331954378,asus-90nb0s3b-m04590,https://rozetka.com.ua/asus-90nb0s3b-m04590/p331954378/comments/,0
338274052,acer-nhqdleu00h,https://rozetka.com.ua/acer-nhqdleu00h/p338274052/comments/,0
332744989,lenovo-82h700pura,https://rozetka.com.ua/lenovo-82h700pura/p332744989/comments/,0
322710583,apple_macbook_pro_16_m1_pro_512gb_2021_space_gray,https://rozetka.com.ua/apple_macbook_pro_16_m1_pro_512gb_2021_space_gray/p322710583/comments/,0
307049053,lenovo-82c30027ra,https://rozetka.com.ua/lenovo-82c30027ra/p307049053/,0
339784513,asus-90nb0sg1-m30870,https://rozetka.com.ua/asus-90nb0sg1-m30870/p339784513/,0
323909509,acer-nxa77eu00c,https://rozetka.com.ua/acer-nxa77eu00c/p323909509/,0
314003122,lenovo-82nx00dqra,https://rozetka.com.ua/lenovo-82nx00dqra/p314003122/comments/,0
339696121,asus-90nb0sg1-m00mz0,https://rozetka.com.ua/asus-90nb0sg1-m00mz0/p339696121/comments/,0
325216981,msi-b11mou-874xua,https://rozetka.com.ua/msi-b11mou-874xua/p325216981/comments/,0
344951158,asus-90nr09g2-m00250,https://rozetka.com.ua/asus-90nr09g2-m00250/p344951158/comments/,0
322377649,dell-n6262vn3515ua-wp,https://rozetka.com.ua/dell-n6262vn3515ua-wp/p322377649/,0
314003110,lenovo-82nx00dcra,https://rozetka.com.ua/lenovo-82nx00dcra/p314003110/,0
339014731,acer-nhqe5eu00m,https://rozetka.com.ua/acer-nhqe5eu00m/p339014731/comments/,0
314003119,lenovo-82nx00dera,https://rozetka.com.ua/lenovo-82nx00dera/p314003119/comments/,0
342600088,asus-90nb0sg2-m00n00,https://rozetka.com.ua/asus-90nb0sg2-m00n00/p342600088/,0
322710583,apple_macbook_pro_16_m1_pro_512gb_2021_space_gray,https://rozetka.com.ua/apple_macbook_pro_16_m1_pro_512gb_2021_space_gray/p322710583/,0
344951158,asus-90nr09g2-m00250,https://rozetka.com.ua/asus-90nr09g2-m00250/p344951158/,0
342602632,asus-90nr08a5-m002a0,https://rozetka.com.ua/asus-90nr08a5-m002a0/p342602632/,0
332744989,lenovo-82h700pura,https://rozetka.com.ua/lenovo-82h700pura/p332744989/,0
282175188,acer_nx_vpveu_008,https://rozetka.com.ua/acer_nx_vpveu_008/p282175188/,0
339784513,asus-90nb0sg1-m30870,https://rozetka.com.ua/asus-90nb0sg1-m30870/p339784513/comments/,0
342575098,lenovo-intel-i3-1115g4-8-128f-int-w10p,https://rozetka.com.ua/lenovo-intel-i3-1115g4-8-128f-int-w10p/p342575098/comments/,0
336263044,asus-90nr08a5-m00640,https://rozetka.com.ua/asus-90nr08a5-m00640/p336263044/comments/,0
334676443,asus-90nb0sg3-m30860,https://rozetka.com.ua/asus-90nb0sg3-m30860/p334676443/,0
344525260,apple-z15g000dw,https://rozetka.com.ua/apple-z15g000dw/p344525260/,0
332259001,asus-90nb0v71-m02190,https://rozetka.com.ua/asus-90nb0v71-m02190/p332259001/,0
335892088,acer-nhqdleu008,https://rozetka.com.ua/acer-nhqdleu008/p335892088/,0
332259001,asus-90nb0v71-m02190,https://rozetka.com.ua/asus-90nb0v71-m02190/p332259001/comments/,0
331620700,acer-nxvlheu00a,https://rozetka.com.ua/acer-nxvlheu00a/p331620700/comments/,0
334830985,asus-90nb0w12-m00150,https://rozetka.com.ua/asus-90nb0w12-m00150/p334830985/comments/,0
    